,fpr,tpr,trial
17094,0.083,0.489,random-split
17095,0.083,0.489,random-split
17096,0.083,0.49,random-split
17097,0.083,0.49,random-split
17098,0.083,0.49,random-split
17099,0.083,0.49,random-split
17100,0.083,0.49,random-split
17101,0.084,0.49,random-split
17102,0.084,0.491,random-split
17090,0.083,0.489,random-split
17134,0.085,0.495,random-split
17135,0.085,0.495,random-split
17136,0.085,0.495,random-split
17168,0.087,0.5,random-split
17169,0.087,0.5,random-split
17170,0.087,0.5,random-split
17171,0.087,0.5,random-split
17172,0.087,0.501,random-split
17173,0.087,0.501,random-split
17174,0.087,0.501,random-split
17175,0.087,0.501,random-split
17176,0.087,0.501,random-split
17177,0.088,0.501,random-split
17178,0.088,0.502,random-split
17179,0.088,0.502,random-split
17167,0.087,0.499,random-split
17180,0.088,0.502,random-split
17182,0.088,0.502,random-split
17183,0.088,0.502,random-split
17184,0.088,0.502,random-split
17185,0.088,0.502,random-split
17186,0.088,0.503,random-split
17187,0.088,0.503,random-split
17188,0.088,0.503,random-split
17189,0.088,0.503,random-split
17190,0.088,0.504,random-split
17191,0.088,0.504,random-split
17192,0.088,0.504,random-split
17193,0.088,0.504,random-split
17181,0.088,0.502,random-split
17166,0.087,0.499,random-split
17165,0.087,0.499,random-split
17164,0.087,0.499,random-split
17137,0.085,0.495,random-split
17138,0.085,0.495,random-split
17139,0.085,0.495,random-split
17140,0.085,0.496,random-split
17141,0.086,0.496,random-split
17142,0.086,0.496,random-split
17143,0.086,0.496,random-split
17144,0.086,0.496,random-split
17145,0.086,0.496,random-split
17146,0.086,0.496,random-split
17147,0.086,0.496,random-split
17148,0.086,0.497,random-split
17149,0.086,0.497,random-split
17150,0.086,0.497,random-split
17151,0.086,0.497,random-split
17152,0.086,0.497,random-split
17153,0.086,0.497,random-split
17154,0.086,0.498,random-split
17155,0.086,0.498,random-split
17156,0.086,0.498,random-split
17157,0.086,0.498,random-split
17158,0.086,0.498,random-split
17159,0.087,0.498,random-split
17160,0.087,0.498,random-split
17161,0.087,0.498,random-split
17162,0.087,0.499,random-split
17163,0.087,0.499,random-split
17076,0.082,0.487,random-split
16954,0.076,0.47,random-split
17075,0.082,0.487,random-split
17073,0.082,0.486,random-split
16986,0.078,0.475,random-split
16987,0.078,0.475,random-split
16988,0.078,0.475,random-split
16989,0.078,0.475,random-split
16990,0.078,0.476,random-split
16991,0.078,0.476,random-split
16992,0.078,0.476,random-split
16993,0.078,0.476,random-split
16994,0.078,0.476,random-split
16995,0.078,0.476,random-split
16996,0.078,0.476,random-split
16997,0.078,0.476,random-split
16985,0.078,0.474,random-split
16998,0.078,0.477,random-split
17000,0.078,0.477,random-split
17001,0.079,0.477,random-split
17002,0.079,0.477,random-split
17003,0.079,0.477,random-split
17004,0.079,0.477,random-split
17005,0.079,0.477,random-split
17006,0.079,0.478,random-split
17007,0.079,0.478,random-split
17008,0.079,0.478,random-split
17009,0.079,0.478,random-split
17010,0.079,0.478,random-split
17011,0.079,0.478,random-split
16999,0.078,0.477,random-split
17012,0.079,0.478,random-split
16984,0.078,0.474,random-split
16982,0.078,0.474,random-split
16956,0.076,0.471,random-split
16957,0.076,0.471,random-split
